Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/03/2023 01:27 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Y0gv5U
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2021
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2021,Albania,ALB,Netherlands,NLD,6,5,-
2021,Albania,ALB,Norway,NOR,18,6,-
2021,Albania,ALB,Portugal,PRT,0,5,-
2021,Albania,ALB,Spain,ESP,5,90,-
2021,Albania,ALB,Sweden,SWE,290,155,-
2021,Albania,ALB,Switzerland,CHE,114,51,-
2021,Albania,ALB,"United States of America",USA,1272,2821,-
2021,Algeria,DZA,Argentina,ARG,30,20,-
2021,Algeria,DZA,Australia,AUS,9,23,-
2021,Algeria,DZA,Austria,AUT,28,173,-
2021,Algeria,DZA,Belgium,BEL,70,220,-
2021,Algeria,DZA,Brazil,BRA,8,36,-
2021,Algeria,DZA,Bulgaria,BGR,0,27,-
2021,Algeria,DZA,Canada,CAN,872,615,-
2021,Algeria,DZA,Cyprus,CYP,8,0,-
2021,Algeria,DZA,Czechia,CZE,0,8,-
2021,Algeria,DZA,Denmark,DNK,0,10,-
2021,Algeria,DZA,Finland,FIN,7,6,-
2021,Algeria,DZA,France,FRA,3209,484,-
2021,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,312,529,-
2021,Algeria,DZA,Georgia,GEO,0,5,-
2021,Algeria,DZA,Germany,DEU,630,1223,-
2021,Algeria,DZA,Greece,GRC,132,132,-
2021,Algeria,DZA,Hungary,HUN,14,0,-
2021,Algeria,DZA,Ireland,IRL,68,301,-
2021,Algeria,DZA,Italy,ITA,27,124,-
2021,Algeria,DZA,Jordan,JOR,0,5,-
2021,Algeria,DZA,"Rep. of Korea",KOR,6,73,-
2021,Algeria,DZA,Lebanon,LBN,6,6,-
2021,Algeria,DZA,Luxembourg,LUX,0,20,-
2021,Algeria,DZA,Mexico,MEX,5,5,-
2021,Algeria,DZA,Malaysia,MYS,0,10,-
2021,Algeria,DZA,Montenegro,MNE,0,9,-
2021,Algeria,DZA,Morocco,MAR,10,14,-
2021,Algeria,DZA,Malta,MLT,0,27,-
2021,Algeria,DZA,Netherlands,NLD,19,519,-
2021,Algeria,DZA,Norway,NOR,6,5,-
2021,Algeria,DZA,Pakistan,PAK,22,0,-
2021,Algeria,DZA,Portugal,PRT,0,19,-
2021,Algeria,DZA,Romania,ROU,0,6,-
2021,Algeria,DZA,"South Africa",ZAF,5,184,-
2021,Algeria,DZA,Spain,ESP,110,1165,-
2021,Algeria,DZA,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,10,-
2021,Algeria,DZA,Slovenia,SVN,0,13,-
2021,Algeria,DZA,Sweden,SWE,55,69,-
2021,Algeria,DZA,Switzerland,CHE,173,211,-
2021,Algeria,DZA,"Syrian Arab Rep.",SYR,5,0,-
2021,Algeria,DZA,Tunisia,TUN,10,12,-
2021,Algeria,DZA,Ukraine,UKR,0,12,-
2021,Algeria,DZA,"United States of America",USA,147,541,-
2021,Andorra,AND,Brazil,BRA,0,5,-
2021,Angola,AGO,Argentina,ARG,14,15,-
2021,Angola,AGO,Austria,AUT,36,7,-
2021,Angola,AGO,Belgium,BEL,93,225,-
2021,Angola,AGO,Brazil,BRA,1157,5767,-
2021,Angola,AGO,Canada,CAN,594,816,-
2021,Angola,AGO,"Central African Rep.",CAF,12,0,-
2021,Angola,AGO,Chile,CHL,0,5,-
2021,Angola,AGO,Cameroon,CMR,5,0,-
2021,Angola,AGO,Congo,COG,7,45,-
2021,Angola,AGO,"Dem. Rep. of the Congo",COD,417,25,-
2021,Angola,AGO,"Costa Rica",CRI,0,62,-
2021,Angola,AGO,Cyprus,CYP,0,15,-
2021,Angola,AGO,Ecuador,ECU,5,0,-
2021,Angola,AGO,Finland,FIN,60,5,-
2021,Angola,AGO,France,FRA,6704,966,-
2021,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,139,154,-
2021,Angola,AGO,Germany,DEU,835,401,-
2021,Angola,AGO,Greece,GRC,16,64,-
2021,Angola,AGO,Hungary,HUN,5,0,-
